reviewID,rating,content,imagePath,dishID,restaurantID
1,5,Excellent taste and service,images/review1.jpg,1,1
2,4,Great portion but a bit spicy,images/review2.jpg,2,2
3,5,Best tacos in town,images/review3.jpg,3,3
4,3,Good but expensive,images/review4.jpg,4,4
5,4,Classic French dish,images/review5.jpg,5,5
6,5,Amazing flavors,images/review6.jpg,6,6
7,4,Good Thai noodles,images/review7.jpg,7,7
8,5,Very fresh and healthy,images/review8.jpg,8,8
9,3,Decent but not the best burger,images/review9.jpg,9,9
10,5,Authentic and delicious,images/review10.jpg,10,10
